0.9156490215	sprint
0.9154535558	simula
0.9131070857	arcade
0.9129156882	kanban
0.9126023984	artemis
0.9119141534	estonian
0.9112158735	orca
0.9109291081	formale
0.9105882257	cao
0.9104486267	lingo
0.9103842528	winnow
0.9102102060	berge
0.9099898674	polsar
0.9098911742	zeno
0.9094388445	octopus
0.9092669488	chris
0.9089357317	prom
0.9086409184	espresso
0.9083388161	zeus
0.9081727409	magma
0.9079823548	opera
0.9077959793	sphinx
0.9076734714	hex
0.9075906779	amber
0.9074606356	unite
0.9074032051	tesla
0.9073751908	ultrafast
0.9073570350	prognostics
0.9073259450	gflops
0.9072136056	nusmv
0.9071237016	scatterer
0.9070147607	darwinian
0.9069747337	marco
0.9068472108	alpine
0.9067288085	pest
0.9066402426	aero
0.9065899023	clash
0.9063932049	hollywood
0.9063627994	moby
0.9061867219	zen
0.9061652564	opal
0.9058512317	kirchhoff
0.9058335630	caterpillar
0.9057844763	multifunction
0.9057710911	untraceable
0.9057710364	coral
0.9057507872	prometheus
0.9056987520	eric
0.9056828769	han
0.9056787834	geostatistical
0.9056225321	fred
0.9055771981	telos
0.9054847799	polyadic
0.9054739148	biclique
0.9054178384	comma
0.9053691454	mills
0.9053659603	castle
0.9053423847	kurt
0.9052585550	oscar
0.9052343968	lola
0.9049188258	medline
0.9047686921	pfaffian
0.9047515201	meteor
0.9047384387	stark
0.9047190525	dear
0.9046794749	janus
0.9046770985	dali
0.9046557375	synopsys
0.9045908792	microcellular
0.9045646471	tamil
0.9045432314	hu
0.9044183286	pine
0.9043736730	graz
0.9041972494	christian
0.9041041868	golog
0.9040638006	cadence
0.9039430949	athena
0.9039262307	farmer
0.9039249131	tei
0.9038637815	l0
0.9038169688	lustre
0.9037780226	eccentric
0.9037755770	programmen
0.9036944592	grab
0.9034418314	jain
0.9033406830	vista
0.9033203339	minerva
0.9032699316	aurora
0.9032405996	dinsar
0.9032233924	renal
0.9031652218	neo
0.9031012317	jacobians
0.9030613766	autopilot
0.9030520993	fedora
0.9030396591	telco
0.9027686721	basque
0.9027584793	nomad
0.9027519797	rio
0.9027473180	bleu
0.9027115582	quasigroups
0.9026814297	lang
0.9026394776	brian
0.9026364444	prozessen
0.9025524724	terra
0.9025089393	relativized
0.9024685616	observatory
0.9024640061	teragrid
0.9024635903	gale
0.9024570532	orion
0.9023998875	baker
0.9023816352	rx
0.9023719029	nasdaq
0.9023445337	boole
0.9023423234	strassen
0.9022983143	peng
0.9022551225	andy
0.9021813457	sato
0.9021533613	mx
0.9020825892	weber
0.9020471006	nonorthogonal
0.9020081537	stork
0.9019463083	mason
0.9018849452	alma
0.9018491207	singer
0.9017983354	unicore
0.9017789661	pig
0.9017141947	ingres
0.9016534225	rose
0.9016325459	hypersphere
0.9016124984	aqua
0.9015537834	kerberos
0.9014886710	taiwanese
0.9014874625	sofia
0.9014761126	ruby
0.9014547770	async
0.9014161513	metamodelling
0.9013635877	flexray
0.9013044815	serpent
0.9012762750	netflow
0.9012711995	lex
0.9012690650	gnat
0.9012621365	ladar
0.9012298873	daisy
0.9011739864	cyclops
0.9010577794	promela
0.9010399568	amoeba
0.9009474945	legion
0.9009171981	villa
0.9008273019	tex
0.9008185162	shake
0.9008119370	transputers
0.9007761967	prozess
0.9007700584	stern
0.9007083918	geneva
0.9006770622	opus
